Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
03/13/24,109.53,17122240,1.21,1.12,1.12,124.09,122.73,109.14,110.35,109.11,96.61
03/12/24,108.32,14957250,-0.70,-0.64,-0.64,122.71,120.27,109.06,109.28,108.03,94.44
03/11/24,109.02,17577290,0.64,0.59,0.59,123.51,121.70,108.25,109.12,107.34,95.69
03/08/24,108.38,16281470,1.01,0.94,0.94,122.78,120.40,107.23,108.40,106.77,94.54
03/07/24,107.37,15195410,0.60,0.56,0.56,121.64,118.34,106.60,107.98,106.60,92.73
03/06/24,106.77,20472790,1.13,1.07,1.07,120.96,117.12,106.62,107.57,106.15,91.65
03/05/24,105.64,19952710,1.28,1.23,1.23,119.68,114.82,104.53,106.27,104.32,89.62
03/04/24,104.36,18137990,-1.48,-1.40,-1.40,118.23,112.22,105.66,105.85,104.03,87.33
03/01/24,105.84,18460120,1.32,1.26,1.26,119.90,115.23,105.72,106.39,105.38,89.98
02/29/24,104.52,17566070,0.20,0.19,0.19,118.41,112.55,104.68,105.07,104.22,87.61
02/28/24,104.32,14810490,0.29,0.28,0.28,118.18,112.14,104.47,105.43,104.00,87.26
02/27/24,104.03,16359980,-0.22,-0.21,-0.21,117.85,111.55,104.68,105.15,103.85,86.73
02/26/24,104.25,13360800,0.41,0.39,0.39,118.10,112.00,103.72,104.94,103.05,87.13
02/23/24,103.84,15975890,-0.92,-0.88,-0.88,117.64,111.16,103.88,104.09,102.88,86.39
02/22/24,104.76,20470670,-0.09,-0.09,-0.09,118.68,113.03,104.16,105.41,103.45,88.05
02/21/24,104.85,20999190,2.10,2.04,2.04,118.78,113.22,103.02,104.98,102.99,88.21
02/20/24,102.75,17650010,-0.98,-0.94,-0.94,116.40,108.95,103.84,104.12,102.65,84.44
02/16/24,103.73,20151430,,,,117.51,110.94,104.01,104.63,103.52,86.20
02/15/24,103.73,23196310,2.89,2.87,2.87,117.51,110.94,100.60,103.94,100.60,86.20
02/14/24,100.84,17651250,-0.50,-0.49,-0.49,114.24,105.06,101.87,102.62,100.42,81.01
02/13/24,101.34,18917430,-1.83,-1.77,-0.85,114.81,106.08,102.76,103.09,100.60,81.91
02/12/24,103.17,18173060,1.40,1.38,1.38,115.79,107.85,102.16,103.40,102.00,85.19
02/09/24,101.77,20410510,-2.20,-2.12,-2.12,114.22,105.03,104.10,104.84,101.70,82.68
02/08/24,103.97,19636900,1.75,1.71,1.71,116.69,109.46,102.34,104.42,102.11,86.63
02/07/24,102.22,13826830,-0.03,-0.03,-0.03,114.73,105.94,102.25,102.73,101.18,83.49
02/06/24,102.25,13353290,0.70,0.69,0.69,114.76,106.00,102.07,103.04,101.57,83.54
02/05/24,101.55,17190890,-0.42,-0.41,-0.41,113.98,104.59,101.45,102.38,100.50,82.28
02/02/24,101.97,21973410,-0.42,-0.41,-0.41,114.45,105.43,103.75,104.00,101.61,83.04
02/01/24,102.39,19240690,-0.42,-0.41,-0.41,114.92,106.28,103.57,104.01,101.62,83.79
01/31/24,102.81,22415290,-2.04,-1.95,-1.95,115.39,107.13,104.74,104.88,102.77,84.54
01/30/24,104.85,19610930,1.72,1.67,1.67,117.68,111.24,102.41,104.88,102.10,88.21
01/29/24,103.13,18317550,0.13,0.13,0.13,115.75,107.77,102.98,103.20,101.86,85.12
01/26/24,103.00,20817240,0.87,0.85,0.85,115.60,107.51,101.97,103.08,101.19,84.89
01/25/24,102.13,22089510,2.53,2.54,2.54,114.63,105.76,100.31,102.18,99.62,83.32
01/24/24,99.60,17330650,1.69,1.73,1.73,111.79,100.66,98.32,99.65,97.74,78.78
01/23/24,97.91,15863430,1.09,1.13,1.13,109.89,97.26,96.81,98.50,96.73,75.75
01/22/24,96.82,19955950,-0.13,-0.13,-0.13,108.67,95.06,96.70,97.10,95.77,73.79
01/19/24,96.95,20088430,0.15,0.15,0.15,108.81,95.32,96.72,97.02,96.41,74.03
01/18/24,96.80,20940280,-0.18,-0.19,-0.19,108.65,95.02,97.00,97.09,95.82,73.76
01/17/24,96.98,18384020,-0.71,-0.73,-0.73,108.85,95.38,96.60,97.96,96.58,74.08
01/16/24,97.69,20235700,-2.26,-2.26,-2.26,109.64,96.81,99.82,100.01,97.53,75.35
01/12/24,99.95,18041680,1.28,1.30,1.30,112.18,101.37,100.14,100.65,99.17,79.41
01/11/24,98.67,15833360,-0.02,-0.02,-0.02,110.74,98.79,99.04,99.50,98.56,77.11
01/10/24,98.69,18206090,-0.98,-0.98,-0.98,110.77,98.83,99.80,99.80,98.16,77.15
01/09/24,99.67,19496650,-1.25,-1.24,-1.24,111.87,100.80,101.29,101.29,99.19,78.91
01/08/24,100.92,23370130,-1.71,-1.67,-1.67,113.27,103.32,100.73,101.04,98.90,81.15
01/05/24,102.63,15827390,0.31,0.30,0.30,115.19,106.76,103.17,103.40,102.13,84.22
